ts,session,ok,turns,duration_s,input_tokens,cache_create,cache_read,output_tokens,cost_usd_equiv,models
2026-08-24T22:53:28+09:00,us-open,ok,33,460.0,48,54432,1044462,24113,1.9221,claude-haiku-4-5-20251001|claude-opus-5
2026-08-25T04:54:35+09:00,us-close,ok,36,529.1,46,77896,1411748,27658,2.4649,claude-haiku-4-5-20251001|claude-opus-5
2026-08-25T06:53:48+09:00,report,ok,21,471.9,32,86902,909117,29203,2.1149,claude-haiku-4-5-20251001|claude-opus-5
2026-08-25T09:55:49+09:00,jp-open,ok,43,608.3,52,69342,1418163,30377,2.6437,claude-haiku-4-5-20251001|claude-opus-5
2026-08-25T14:52:55+09:00,jp-close,ok,26,432.1,42,60259,1047397,21519,1.8753,claude-haiku-4-5-20251001|claude-opus-5
2026-08-25T22:54:12+09:00,us-open,ok,37,499.4,44,68319,1127153,24580,2.3347,claude-haiku-4-5-20251001|claude-opus-5
2026-08-26T04:53:46+09:00,us-close,ok,32,484.6,64,59002,1640410,23043,2.17,claude-haiku-4-5-20251001|claude-opus-5
2026-08-26T06:54:40+09:00,report,ok,21,523.8,30,84264,847923,33639,2.1545,claude-haiku-4-5-20251001|claude-opus-5
2026-08-26T09:50:18+09:00,jp-open,ok,23,281.0,24,47230,514644,13669,1.3161,claude-haiku-4-5-20251001|claude-opus-5
2026-08-26T14:53:04+09:00,jp-close,ok,34,435.9,42,55544,1018690,21720,1.8553,claude-haiku-4-5-20251001|claude-opus-5
2026-08-26T22:53:53+09:00,us-open,ok,44,483.2,60,74497,1585146,25341,2.5798,claude-haiku-4-5-20251001|claude-opus-5
2026-08-27T04:55:55+09:00,us-close,ok,36,612.7,44,62436,1209877,29135,2.2792,claude-haiku-4-5-20251001|claude-opus-5
2026-08-27T06:53:22+09:00,report,ok,24,445.1,36,88301,1228545,29401,2.3464,claude-haiku-4-5-20251001|claude-opus-5
2026-08-27T09:57:20+09:00,jp-open,ok,54,695.5,64,99304,2328295,36101,3.6476,claude-haiku-4-5-20251001|claude-opus-5
2026-08-27T14:53:46+09:00,jp-close,ok,37,483.8,40,58049,975741,23463,2.0978,claude-haiku-4-5-20251001|claude-opus-5
2026-08-27T22:55:47+09:00,us-open,ok,34,604.3,42,95724,1449506,33254,3.0468,claude-haiku-4-5-20251001|claude-opus-5
2026-08-28T04:53:31+09:00,us-close,ok,37,469.0,50,59160,1233392,24270,2.0472,claude-haiku-4-5-20251001|claude-opus-5
2026-08-28T06:52:37+09:00,report,ok,23,408.0,34,83322,998756,25168,1.9985,claude-haiku-4-5-20251001|claude-opus-5
2026-08-28T09:55:53+09:00,jp-open,ok,49,613.3,58,69761,1405696,29935,2.6553,claude-haiku-4-5-20251001|claude-opus-5
2026-08-28T14:51:44+09:00,jp-close,ok,29,356.6,38,58684,750987,19712,1.5891,claude-haiku-4-5-20251001|claude-opus-5
2026-08-28T22:52:48+09:00,us-open,ok,29,426.5,40,61171,991002,21332,1.893,claude-haiku-4-5-20251001|claude-opus-5
2026-08-29T04:55:46+09:00,us-close,ok,45,601.6,58,96186,1712602,31501,3.0393,claude-haiku-4-5-20251001|claude-opus-5
2026-08-29T06:55:35+09:00,report,ok,25,582.8,38,83341,1168556,26444,2.2037,claude-haiku-4-5-20251001|claude-opus-5
